Name,CAM,LCAM,NHD,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags
EA Model.EARootClass,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.utils.ListProperties,0.44444445,0.5555556,0.3333333,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.utils.Util,0.23958333,0.7604167,0.70694447,59,16,16,1,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.BackOrderMgr,0.5277778,0.4722222,0.625,1,9,9,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,1,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.CatalogMgr,0.28125,0.71875,0.64285713,1,8,6,2,5,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,0,3,4,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.CustomerMgr,0.875,0.125,0.75,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,0,1,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.EMailMessage,0.6,0.39999998,0.8,4,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.MailerAppException,0.5,0.5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.MailerBean,0.5555556,0.44444442,0.5555556,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.NoSupplierException,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.ResetDBBean,0.5,0.5,0.6666666,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,5,1,1,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.ShoppingCartBean,0.2037037,0.7962963,0.7104377,2,12,10,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,0,1,6,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.ShoppingCartContent,0.39285713,0.60714287,0.45238096,2,7,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.ejb.SuppliersBean,0.375,0.625,0.4166667,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,1,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.jpa.Supplier,0.49122807,0.5087719,0.7270955,8,19,19,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.jpa.BackOrder,0.25925925,0.7407408,0.6230937,7,18,18,7,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,5,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.jpa.Customer,0.36458334,0.6354166,0.8106884,10,24,24,10,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,9,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.jpa.Inventory,0.15897436,0.84102565,0.7819163,19,39,39,18,17,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,1,24,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.jpa.Order,0.19318181,0.8068182,0.82962966,28,55,55,26,26,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,5,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.pbw.jpa.PK,0.25,0.75,0.5,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
