Name,CAM,LCAM,NHD,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags
EA Model.EARootClass,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EA Model.dto.AddressInfo,0.28235295,0.7176471,0.75,7,17,17,6,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1
EA Model.dto.BookingInfo,0.25454545,0.74545455,0.65090907,5,11,11,4,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
EA Model.dto.BookingPKInfo,0.44444445,0.5555556,0.6,2,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
EA Model.dto.BookingReceiptInfo,0.3611111,0.6388889,0.5694444,3,9,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.dto.CustomerInfo,0.21768707,0.7823129,0.71156466,9,21,21,8,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1
EA Model.dto.FlightInfo,0.17391305,0.82608694,0.7302371,11,23,23,10,11,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,3,0,0,0,0,0,0,0,0,1
EA Model.dto.FlightPKInfo,0.44444445,0.5555556,0.6,2,6,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
EA Model.dto.FlightSegmentInfo,0.325,0.675,0.59444445,4,10,10,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1
EA Model.dto.TripFlightOptions,0.5,0.5,0.3333333,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.dto.TripLegInfo,0.3,0.7,0.63111115,6,10,10,5,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
