Name,CBO,IC,OC,CAM,NCO,DIT,RFC,LOC,NCA
Account,0,41,0,0.5,36,0,0,134,19
Cart,2,18,25,0.2125,10,0,5,63,3
CartItem,1,27,4,0.26666668,8,0,4,42,5
Category,0,9,0,0.71428573,7,0,0,30,4
Item,1,32,5,0.296,25,0,5,95,14
LineItem,2,14,10,0.20535715,15,0,7,69,8
Order,4,25,21,0.15438597,57,0,0,238,28
Product,0,19,0,0.7222222,9,0,0,37,5
Sequence,0,3,0,0.375,6,0,0,25,3
AccountService,1,6,6,0.4,5,0,6,32,1
CatalogService,3,14,7,0.17592593,9,0,7,49,3
OrderService,4,4,22,0.26,5,0,9,69,4
AbstractActionBean,0,0,0,0.5555556,2,0,0,21,3
AccountActionBean,5,7,37,0.16666667,18,1,20,117,11
CartActionBean,4,4,23,0.24444444,9,1,14,76,6
CatalogActionBean,4,4,30,0.15384616,26,1,23,135,17
OrderActionBean,6,0,37,0.18095239,15,1,16,118,12
